idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao,anos_experiencia
60,1964-02-07,Santa Catarina,5470.8,Ensino Médio,0,Casado,Educação,3
19,2004-12-10,Piauí,5325.37,Ensino Médio,2,Solteiro,Indústria,0
48,1975-09-10,Paraná,7604.94,Ensino Médio,0,Solteiro,Indústria,23
40,1983-09-07,Rondônia,4932.97,Ensino Superior,0,Casado,Comércio,10
33,1990-12-28,Ceará,10817.42,Ensino Superior,1,Casado,Indústria,11
63,1960-08-29,Piauí,10128.75,Ensino Médio,3,Casado,Indústria,29
54,1969-12-15,Distrito Federal,7173.75,Ensino Médio,3,Casado,Indústria,7
46,1977-10-19,Pará,10190.75,Ensino Superior,0,Solteiro,Comércio,1
36,1987-09-03,Amazonas,11519.7,Pós-graduação,1,Casado,Comércio,4
53,1970-11-15,Ceará,14380.01,Ensino Superior,0,Divorciado,Comércio,21
58,1965-10-29,Roraima,12189.96,Ensino Superior,1,Solteiro,Tecnologia,10
23,2001-03-06,Ceará,2658.18,Ensino Médio,1,Solteiro,Comércio,0
22,2001-06-25,Piauí,5803.37,Ensino Médio,0,Casado,Comércio,3
50,1973-09-27,Maranhão,8173.45,Ensino Médio,1,Casado,Tecnologia,8
22,2002-02-04,Santa Catarina,7266.83,Ensino Médio,0,Casado,Tecnologia,3
29,1994-12-09,Bahia,4438.53,Ensino Superior,0,Solteiro,Comércio,5
20,2003-09-10,Acre,5412.23,Ensino Médio,0,Divorciado,Educação,1
33,1990-04-21,Sergipe,7352.46,Ensino Médio,3,Solteiro,Saúde,12
33,1990-06-04,Rondônia,3598.8,Ensino Médio,1,Casado,Indústria,13
20,2003-11-09,Roraima,6508.16,Ensino Médio,1,Casado,Tecnologia,0
20,2003-10-24,Ceará,2069.19,Ensino Fundamental,0,Solteiro,Tecnologia,0
46,1977-06-16,Alagoas,5185.22,Ensino Médio,0,Divorciado,Comércio,26
46,1978-02-28,Piauí,5265.02,Ensino Médio,1,Solteiro,Comércio,10
33,1991-02-09,Rio Grande do Norte,5509.17,Ensino Superior,2,Casado,Saúde,8
58,1966-02-05,Pará,6094.49,Ensino Médio,1,Solteiro,Saúde,40
40,1983-07-20,Pará,5003.03,Ensino Médio,0,Divorciado,Educação,1
50,1973-11-16,Roraima,3425.18,Ensino Médio,0,Casado,Indústria,9
24,1999-05-17,São Paulo,5887.56,Ensino Superior,1,Casado,Comércio,3
39,1984-11-24,Acre,3006.29,Ensino Médio,1,Solteiro,Comércio,4
22,2001-10-08,Pará,3589.08,Ensino Fundamental,1,Solteiro,Comércio,3
29,1994-06-07,Pernambuco,3607.31,Ensino Médio,1,Casado,Comércio,9
58,1965-11-25,Acre,6073.2,Ensino Médio,1,Casado,Educação,5
20,2003-05-04,Paraná,2954.94,Ensino Fundamental,0,Divorciado,Comércio,2
51,1972-07-17,Pernambuco,6785.1,Ensino Superior,1,Solteiro,Educação,12
32,1992-03-10,Piauí,3646.67,Ensino Médio,2,Casado,Indústria,0
62,1962-02-15,Ceará,5642.2,Ensino Fundamental,2,Solteiro,Tecnologia,33
54,1969-07-07,Roraima,9005.22,Ensino Médio,2,Solteiro,Educação,19
26,1997-10-08,Ceará,6309.63,Ensino Médio,2,Solteiro,Tecnologia,0
37,1986-05-24,Acre,6142.68,Ensino Superior,1,Divorciado,Saúde,4
42,1981-09-07,Maranhão,7306.29,Ensino Médio,0,Solteiro,Indústria,1
37,1986-06-05,Paraíba,3858.93,Ensino Médio,1,Solteiro,Comércio,4
57,1966-12-05,Paraná,5131.5,Ensino Fundamental,0,Divorciado,Tecnologia,37
78,1945-08-11,Espírito Santo,3466.48,Ensino Superior,0,Solteiro,Tecnologia,10
24,1999-04-24,Amapá,2826.72,Ensino Médio,1,Casado,Saúde,1
21,2002-08-01,Rio de Janeiro,7489.86,Ensino Médio,1,Divorciado,Tecnologia,2
24,1999-05-21,Ceará,3826.23,Ensino Superior,1,Casado,Educação,6
24,1999-11-23,Ceará,2129.39,Ensino Fundamental,0,Divorciado,Saúde,2
45,1978-08-12,Rio Grande do Norte,10258.46,Ensino Médio,1,Solteiro,Tecnologia,10
49,1974-06-30,Piauí,7520.21,Ensino Médio,3,Solteiro,Comércio,11
58,1965-06-22,Tocantins,9940.79,Ensino Médio,0,Casado,Tecnologia,40
37,1987-03-26,Rio de Janeiro,11138.46,Ensino Superior,0,Casado,Saúde,16
39,1984-08-25,Rio Grande do Sul,2912.09,Ensino Fundamental,4,Divorciado,Comércio,11
51,1973-03-20,Tocantins,19077.3,Ensino Superior,0,Solteiro,Tecnologia,33
27,1997-01-17,Piauí,4584.77,Ensino Superior,0,Solteiro,Educação,4
60,1963-12-02,Minas Gerais,19517.64,Pós-graduação,0,Casado,Saúde,30
54,1969-05-20,Paraná,4460.6,Ensino Médio,0,Solteiro,Indústria,1
47,1977-01-02,Distrito Federal,6609.4,Ensino Médio,0,Casado,Educação,8
35,1989-03-28,Rio Grande do Norte,8729.86,Ensino Superior,0,Solteiro,Educação,1
62,1961-05-23,Bahia,7642.43,Ensino Médio,4,Casado,Comércio,24
22,2001-12-25,Amapá,2514.69,Ensino Médio,0,Casado,Comércio,2
58,1965-04-19,Acre,3571.41,Ensino Médio,0,Solteiro,Tecnologia,0
62,1962-03-07,Sergipe,4217.16,Ensino Fundamental,1,Casado,Educação,44
60,1963-05-13,Paraíba,8033.1,Pós-graduação,2,Casado,Educação,18
32,1991-11-18,Santa Catarina,2799.45,Ensino Fundamental,0,Casado,Comércio,4
18,2005-06-21,Mato Grosso do Sul,5107.15,Ensino Superior,1,Solteiro,Educação,0
43,1980-04-15,Sergipe,4493.81,Ensino Fundamental,0,Casado,Tecnologia,9
22,2002-01-25,Santa Catarina,7118.58,Ensino Médio,2,Solteiro,Saúde,1
34,1989-08-08,Rio de Janeiro,10593.05,Pós-graduação,1,Casado,Indústria,8
52,1971-06-05,Amapá,15555.42,Ensino Superior,0,Casado,Tecnologia,13
31,1992-08-13,Pará,1736.93,Ensino Fundamental,1,Casado,Educação,8
31,1992-12-31,Paraná,6838.21,Pós-graduação,0,Solteiro,Saúde,3
57,1967-01-20,Rio Grande do Norte,9025.86,Ensino Fundamental,1,Solteiro,Tecnologia,37
22,2001-09-09,Rondônia,3040.64,Ensino Fundamental,0,Casado,Educação,3
64,1959-11-16,Pernambuco,16113.31,Pós-graduação,0,Solteiro,Indústria,28
24,1999-07-16,São Paulo,5222.09,Ensino Médio,2,Casado,Saúde,1
47,1976-09-12,Amapá,7368.65,Ensino Superior,1,Casado,Comércio,17
30,1993-12-04,Rondônia,3935.1,Ensino Médio,0,Solteiro,Comércio,10
64,1959-06-18,Rondônia,7940.49,Ensino Médio,0,Solteiro,Comércio,19
53,1970-08-25,Pernambuco,4438.16,Ensino Fundamental,1,Casado,Educação,21
61,1962-06-07,Sergipe,5121.08,Ensino Médio,1,Casado,Educação,11
54,1970-01-28,Acre,5132.32,Ensino Médio,0,Casado,Tecnologia,4
63,1960-11-02,Piauí,9820.68,Ensino Médio,1,Casado,Tecnologia,9
63,1960-08-03,Rio Grande do Sul,6875.03,Ensino Médio,0,Solteiro,Comércio,2
22,2001-08-23,Pará,5644.46,Ensino Médio,2,Casado,Educação,0
25,1999-03-27,Rondônia,6624.34,Ensino Superior,0,Divorciado,Indústria,3
39,1984-09-07,Distrito Federal,7711.1,Ensino Médio,0,Casado,Indústria,20
23,2000-11-21,Paraíba,6421.5,Ensino Médio,2,Solteiro,Tecnologia,5
28,1995-08-06,São Paulo,4262.17,Ensino Médio,2,Solteiro,Indústria,0
36,1987-05-21,Rio Grande do Norte,4297.06,Ensino Médio,3,Casado,Educação,3
57,1966-09-19,Alagoas,11494.37,Ensino Médio,0,Casado,Indústria,35
19,2005-02-09,Rio Grande do Norte,8854.34,Ensino Superior,0,Casado,Tecnologia,0
30,1993-07-06,Roraima,4769.24,Ensino Médio,3,Solteiro,Comércio,4
30,1993-12-29,Tocantins,10438.9,Pós-graduação,1,Casado,Educação,12
83,1940-05-04,Distrito Federal,7299.2,Ensino Superior,0,Solteiro,Educação,60
30,1994-03-25,Roraima,2925.5,Ensino Médio,1,Casado,Comércio,5
40,1983-05-02,São Paulo,4175.07,Ensino Fundamental,1,Solteiro,Educação,14
22,2001-06-24,Pará,8939.08,Ensino Superior,0,Solteiro,Saúde,2
45,1978-06-27,Minas Gerais,7221.56,Ensino Superior,1,Casado,Educação,9
58,1965-10-12,Paraná,5683.91,Ensino Fundamental,1,Casado,Tecnologia,3
62,1962-01-04,Rio Grande do Sul,4985.91,Ensino Médio,1,Casado,Indústria,2
77,1946-08-02,Paraná,1655.64,Ensino Fundamental,1,Casado,Comércio,19
27,1997-01-12,Pernambuco,8785.24,Ensino Médio,2,Solteiro,Saúde,9
19,2004-07-09,Pará,6419.11,Ensino Médio,0,Casado,Saúde,1
29,1994-08-15,Ceará,3367.89,Ensino Fundamental,3,Casado,Saúde,10
32,1991-07-28,São Paulo,7521.6,Ensino Superior,5,Solteiro,Comércio,8
26,1998-02-04,Ceará,3786.4,Ensino Fundamental,2,Divorciado,Saúde,0
21,2002-05-03,Tocantins,3873.91,Ensino Fundamental,1,Divorciado,Indústria,1
45,1979-03-23,Sergipe,3779.1,Ensino Superior,0,Casado,Comércio,2
43,1980-08-09,Goiás,3504.57,Ensino Médio,0,Solteiro,Educação,5
21,2002-05-08,Rio de Janeiro,5608.99,Ensino Médio,2,Casado,Educação,1
63,1960-08-30,Espírito Santo,4209.98,Ensino Superior,0,Solteiro,Comércio,2
21,2002-08-23,Mato Grosso do Sul,4472.74,Ensino Superior,4,Casado,Saúde,1
55,1968-08-22,Distrito Federal,9664.91,Ensino Médio,1,Divorciado,Comércio,36
86,1937-10-31,Rondônia,17193.74,Ensino Médio,1,Casado,Tecnologia,24
59,1964-12-12,Pará,4979.66,Ensino Médio,0,Solteiro,Educação,10
49,1974-11-29,Rio de Janeiro,11372.03,Ensino Médio,0,Casado,Saúde,24
54,1969-08-25,Goiás,10312.61,Ensino Médio,0,Casado,Tecnologia,31
42,1982-03-28,Espírito Santo,5606.21,Ensino Médio,2,Casado,Comércio,19
33,1990-04-22,Amapá,5544.04,Pós-graduação,1,Casado,Educação,4
52,1971-11-22,Rio Grande do Sul,10241.69,Ensino Médio,3,Divorciado,Comércio,25
33,1991-03-04,Amapá,9673.65,Ensino Superior,0,Solteiro,Saúde,9
63,1960-06-25,Rio Grande do Sul,9076.35,Ensino Médio,2,Casado,Indústria,12
28,1995-09-24,Mato Grosso do Sul,17113.36,Pós-graduação,0,Casado,Tecnologia,10
43,1980-11-07,Alagoas,5948.55,Ensino Superior,1,Viúvo,Tecnologia,6
